track,distance,count,max_scheduledDate,min_scheduledDate
wagga,1360,25,2013-04-05,2012-09-26
wagga,1365,10,2014-04-20,2014-04-20
wagga,1740,19,2019-02-12,2019-02-12
wagga,1755,19498,2019-02-05,2004-01-09
wagga,2160,29,2011-08-12,2011-08-12
wagga,2165,20835,2018-12-22,2004-01-09
wagga,2270,3,2019-02-12,2019-02-12
wagga,2565,25,2012-04-27,2007-07-27
wagga,2575,498,2018-03-03,2004-01-09
wagin,1776,2365,2024-12-06,2004-01-31
wagin,1780,7,2020-09-20,2020-09-20
wagin,1795,30,2007-06-15,2007-06-15
wagin,2165,174,2007-06-15,2004-04-10
wagin,2180,8145,2024-12-06,2007-05-13
wagin,2195,1531,2011-06-17,2004-01-31
wagin,2530,475,2019-03-24,2004-02-21
wagin,2540,542,2024-11-22,2010-11-05
wagin,2550,12,2004-01-31,2004-01-31
wagin,2590,763,2024-11-22,2004-01-31
wagin,400,96,2013-02-10,2005-01-31
wangaratta,1800,656,2024-03-10,2004-02-12
wangaratta,2210,1040,2025-03-09,2004-02-12
wangaratta,2615,256,2024-03-10,2004-02-12
wanneroo,1700,838,2024-01-25,2004-04-18
wanneroo,2100,6082,2025-03-27,2004-04-18
wanneroo,2400,4,2006-05-07,2006-05-07
wanneroo,2470,880,2024-06-20,2004-04-18
wanneroo,2500,6,2005-03-27,2004-08-29
wanneroo,400,28,2013-03-13,2009-01-22
warragul,1785,2757,2014-08-11,2004-01-23
warragul,1790,2164,2024-12-09,2014-12-01
warragul,2205,4903,2014-08-11,2004-01-23
warragul,2210,2343,2024-12-09,2014-12-01
warragul,2620,912,2014-04-20,2004-01-23
warragul,2627,172,2024-07-22,2015-04-05
warrnambool,1700,34,2005-04-24,2004-06-06
warrnambool,2100,78,2005-04-24,2004-06-06
warrnambool,2500,22,2005-04-24,2004-06-06
warwick,1200,6,2020-12-06,2020-12-06
warwick,1350,50,2016-09-04,2016-09-04
warwick,1500,12,2016-09-04,2016-09-04
warwick,1609,69,2023-03-24,2019-03-22
warwick,1950,267,2024-11-10,2014-09-07
warwick,2950,5,2017-12-09,2017-12-09
wayville,1050,59,2017-09-10,2017-09-01
wayville,2140,100,2019-12-13,2017-10-18
wayville,2380,42,2019-12-13,2017-10-27
wayville,2653,8,2017-10-27,2017-10-27
wedderburn,1740,197,2005-03-26,2004-01-05
wedderburn,1750,511,2025-01-26,2012-12-16
wedderburn,2140,261,2005-03-26,2004-01-05
wedderburn,2150,387,2025-01-26,2012-12-16
wedderburn,2540,103,2005-03-26,2004-01-05
wedderburn,2555,212,2025-01-26,2012-12-16
wedderburn,2955,39,2025-01-26,2020-01-19
west wyalong,1700,240,2010-04-17,2004-02-21
west wyalong,1740,1329,2025-03-22,2011-04-23
west wyalong,2100,527,2023-03-25,2004-02-21
west wyalong,2140,1467,2024-10-25,2011-04-23
west wyalong,2500,113,2010-04-03,2004-04-10
west wyalong,2540,233,2024-10-20,2011-04-23
whyalla,1000,24,2007-01-26,2007-01-26
whyalla,1920,1159,2018-04-02,2004-01-01
whyalla,2320,399,2018-04-02,2004-01-31
whyalla,2323,9,2009-03-28,2009-03-28
whyalla,2360,196,2018-04-02,2004-01-25
williams,1936,16,2009-12-27,2009-01-01
williams,1939,515,2024-02-25,2004-01-04
williams,2272,441,2023-02-12,2004-01-04
williams,2277,2091,2025-02-23,2004-01-04
williams,2666,252,2025-02-23,2004-01-04
williams,2667,10,2005-02-13,2005-02-13
wyong,1710,101,2004-05-26,2004-01-28
wyong,2180,96,2004-05-26,2004-01-28
yarra valley,1650,6997,2024-11-07,2005-03-27
yarra valley,2150,14008,2024-11-07,2005-03-27
yarra valley,2180,77,2004-11-08,2004-01-16
yarra valley,2210,993,2004-11-08,2004-01-16
yarra valley,2590,166,2004-11-08,2004-01-16
yarra valley,2650,739,2024-05-13,2005-03-27
york,2080,595,2007-12-30,2004-01-28
york,2410,736,2007-12-30,2004-01-28
york,2750,20,2007-09-28,2006-12-02
young,1700,2887,2014-12-02,2004-01-17
young,1710,371,2019-12-24,2004-02-05
young,1720,14015,2025-03-31,2013-11-22
young,1740,67,2022-11-15,2019-10-22
young,1770,8,2017-02-07,2017-02-07
young,2100,16216,2025-01-13,2004-01-17
young,2400,9,2009-06-05,2009-06-05
young,2480,416,2023-03-10,2004-02-05
young,2887,21,2024-11-08,2023-12-01
