track,distance,horseOverallTime,runtime_seconds,speed
bulli,2348.0,2:57.400,177.4,0.07555366269165248
bulli,3086.0,4:09.165,249.165,0.08074044069993519
bunbury,1140.0,1:09.310,69.31,0.06079824561403509
bunbury,1609.0,1:51.570,111.57,0.06934120571783717
bunbury,2030.0,2:31.756,151.756,0.07475665024630541
bunbury,2100.0,2:26.540,146.54,0.06978095238095237
bunbury,2500.0,3:07.105,187.105,0.07484199999999999
bunbury,2503.0,3:06.970,186.97,0.07469836196564122
bunbury,2536.0,3:12.832,192.832,0.0760378548895899
bunbury,2550.0,3:09.380,189.38,0.07426666666666666
bunbury,2568.0,3:17.510,197.51,0.0769119937694704
bunbury,2569.0,3:04.208,184.208,0.0717041650447645
bunbury,2990.0,3:48.150,228.15,0.07630434782608696
burnie,1892.0,2:24.450,144.45,0.07634778012684988
burnie,2180.0,2:42.630,162.63,0.07460091743119265
burnie,2500.0,3:11.100,191.1,0.07644
burnie,2789.0,3:35.420,215.42000000000002,0.07723915381857296
burnie,2798.0,3:36.600,216.6,0.07741243745532524
busselton,2030.0,2:35.203,155.203,0.07645467980295567
busselton,2400.0,3:02.611,182.611,0.07608791666666666
busselton,2680.0,3:26.349,206.349,0.07699589552238806
byford,1750.0,2:07.700,127.7,0.07297142857142858
byford,2150.0,2:39.900,159.9,0.07437209302325581
byford,2550.0,3:18.700,198.7,0.07792156862745098
canberra,1730.0,2:07.300,127.3,0.07358381502890174
canberra,1770.0,2:06.861,126.861,0.07167288135593221
canberra,1900.0,2:25.500,145.5,0.07657894736842105
canberra,2140.0,2:39.300,159.3,0.0744392523364486
canberra,2170.0,2:36.969,156.969,0.07233594470046083
canberra,2540.0,3:09.500,189.5,0.07460629921259843
canberra,2570.0,3:09.140,189.14,0.07359533073929961
carrick,1609.0,1:59.460,119.46000000000001,0.07424487259167185
carrick,1670.0,1:58.369,118.369,0.07087964071856287
carrick,2150.0,2:36.372,156.372,0.07273116279069768
carrick,2650.0,3:18.419,198.419,0.07487509433962265
charlton,1609.0,1:52.837,112.837,0.0701286513362337
charlton,1810.0,2:15.090,135.09,0.0746353591160221
charlton,2100.0,2:30.067,150.067,0.0714604761904762
charlton,2230.0,2:46.375,166.375,0.07460762331838565
charlton,2250.0,2:57.910,177.91,0.0790711111111111
charlton,2570.0,3:06.034,186.034,0.07238677042801556
charlton,2650.0,3:23.628,203.628,0.07684075471698112
cobram,1609.0,1:56.194,116.194,0.07221504039776258
cobram,1670.0,1:57.560,117.56,0.07039520958083832
cobram,2150.0,2:47.817,167.817,0.07805441860465116
cobram,2170.0,2:35.257,155.257,0.07154700460829494
cobram,2618.0,3:17.114,197.114,0.07529182582123758
cobram,2678.0,3:12.354,192.35399999999998,0.07182748319641523
cobram,3158.0,4:02.966,242.966,0.07693666877770741
cobram,3178.0,4:00.793,240.793,0.07576872246696036
collie,1750.0,2:16.280,136.28,0.07787428571428572
collie,2020.0,2:35.300,155.3,0.07688118811881188
collie,2050.0,2:32.630,152.63,0.07445365853658537
collie,2400.0,3:04.796,184.796,0.07699833333333334
collie,2670.0,3:27.447,207.447,0.07769550561797753
collie,2700.0,3:27.090,207.09,0.0767
coolamon,1760.0,2:07.305,127.305,0.07233238636363637
coolamon,2200.0,2:51.200,171.2,0.07781818181818181
coolamon,2210.0,2:40.036,160.036,0.07241447963800905
coolamon,2808.0,3:49.261,229.261,0.08164565527065527
coolamon,3258.0,4:23.215,263.215,0.0807903621853898
cootamundra,1730.0,2:06.127,126.127,0.07290578034682081
cootamundra,2140.0,2:34.605,154.605,0.07224532710280374
cootamundra,2530.0,3:15.545,195.545,0.07729051383399209
cowra,1700.0,2:03.307,123.307,0.0725335294117647
cowra,1707.0,2:09.500,129.5,0.07586408904510837
cowra,2100.0,2:39.482,159.482,0.07594380952380952
cowra,2110.0,2:33.857,153.857,0.07291800947867298
cowra,2160.0,2:38.153,158.153,0.07321898148148148
cowra,2510.0,3:08.925,188.925,0.07526892430278885
cowra,2520.0,3:02.532,182.532,0.07243333333333334
cowra,2950.0,3:46.126,226.126,0.0766528813559322
cowra,2970.0,3:46.057,226.05700000000002,0.07611346801346802
cranbourne,1155.0,1:24.359,84.35900000000001,0.07303809523809525
cranbourne,1609.0,1:53.480,113.47999999999999,0.07052827843380981
cranbourne,1630.0,2:04.921,124.921,0.07663865030674848
cranbourne,2080.0,2:29.376,149.376,0.07181538461538461
cranbourne,2105.0,2:34.840,154.84,0.07355819477434679
cranbourne,2110.0,2:40.482,160.482,0.07605781990521326
cranbourne,2115.0,2:40.633,160.633,0.07594940898345154
cranbourne,2555.0,3:03.470,183.47,0.0718082191780822
cranbourne,2575.0,3:18.462,198.462,0.0770726213592233
cranbourne,2585.0,3:12.424,192.424,0.07443868471953578
cunderdin,1730.0,2:06.630,126.63,0.07319653179190751
cunderdin,2130.0,2:38.750,158.75,0.07453051643192488
cunderdin,2145.0,2:39.960,159.96,0.07457342657342658
cunderdin,2500.0,3:14.400,194.4,0.07776
cunderdin,2530.0,3:16.860,196.86,0.0778102766798419
cunderdin,2540.0,3:13.500,193.5,0.07618110236220473
deagon (grass),1950.0,2:31.670,151.67000000000002,0.07777948717948718
devonport,1910.0,2:23.300,143.3,0.0750261780104712
devonport,1930.0,2:20.900,140.9,0.07300518134715026
devonport,2286.0,2:53.600,173.6,0.07594050743657042
devonport,2297.0,2:49.000,169.0,0.07357422725293862
devonport,2645.0,3:19.161,199.161,0.07529716446124764
devonport,2665.0,3:20.070,200.07,0.07507317073170731
devonport,3020.0,3:48.700,228.7,0.07572847682119205
donald,1950.0,2:27.850,147.85,0.07582051282051282
donald,2400.0,3:02.895,182.895,0.07620625
dubbo,1315.0,1:35.780,95.78,0.07283650190114069
dubbo,1320.0,1:36.079,96.07900000000001,0.07278712121212122
dubbo,1720.0,2:03.064,123.064,0.07154883720930232
dubbo,2100.0,2:48.400,168.4,0.08019047619047619
dubbo,2120.0,2:31.790,151.79,0.07159905660377358
dubbo,2520.0,3:08.570,188.57,0.07482936507936508
dubbo,2525.0,3:03.367,183.367,0.07262059405940594
echuca,1755.0,2:05.190,125.19,0.07133333333333333
echuca,2130.0,2:42.563,162.563,0.0763206572769953
echuca,2160.0,2:36.437,156.437,0.07242453703703704
echuca,2530.0,3:07.879,187.879,0.07426047430830039
echuca,2560.0,3:06.125,186.125,0.072705078125
elmore,1780.0,2:09.711,129.711,0.07287134831460675
elmore,1800.0,2:18.127,138.127,0.07673722222222223
elmore,2180.0,2:40.462,160.462,0.07360642201834862
elmore,2200.0,2:48.082,168.082,0.07640090909090909
elmore,2600.0,3:30.979,210.97899999999998,0.08114576923076923
eugowra,1700.0,2:01.241,121.241,0.07131823529411764
eugowra,2100.0,2:31.704,151.704,0.07224
eugowra,2500.0,3:11.613,191.613,0.0766452
fairfield,1313.0,1:32.900,92.9,0.07075399847677076
fairfield,1713.0,2:04.437,124.437,0.07264273204903678
fairfield,2113.0,2:36.000,156.0,0.07382867960246095
fairfield,2133.0,2:47.315,167.315,0.07844116268166901
fairfield,2513.0,3:13.100,193.1,0.07684042976522085
fairfield,2533.0,3:11.900,191.9,0.07575996841689696
forbes,1680.0,2:00.700,120.7,0.0718452380952381
forbes,2060.0,2:31.190,151.19,0.07339320388349514
forbes,2470.0,3:04.610,184.61,0.07474089068825912
gatton,1850.0,2:21.280,141.28,0.07636756756756757
gawler,1360.0,1:39.900,99.9,0.07345588235294118
gawler,1580.0,1:58.726,118.726,0.07514303797468354
gawler,1590.0,1:55.413,115.413,0.07258679245283019
gawler,1609.0,1:54.457,114.457,0.07113548788067121
gawler,1750.0,2:09.000,129.0,0.07371428571428572
gawler,2070.0,2:27.549,147.549,0.07127971014492754
gawler,2170.0,2:42.100,162.1,0.07470046082949308
gawler,2540.0,3:18.014,198.014,0.07795826771653544
gawler,2550.0,3:03.741,183.741,0.07205529411764706
gawler,2570.0,3:21.400,201.4,0.07836575875486382
gawler,2580.0,3:18.631,198.631,0.07698875968992248
geelong,1140.0,1:19.664,79.664,0.06988070175438596
geelong,1609.0,1:51.852,111.852,0.06951646985705408
geelong,2100.0,2:30.258,150.258,0.07155142857142857
geelong,2570.0,3:03.455,183.455,0.07138326848249028
geraldton,1700.0,2:16.440,136.44,0.08025882352941176
geraldton,1735.0,2:07.867,127.867,0.0736985590778098
geraldton,1750.0,2:11.330,131.33,0.0750457142857143
geraldton,2100.0,2:42.250,162.25,0.07726190476190477
geraldton,2135.0,2:39.310,159.31,0.07461826697892272
geraldton,2150.0,2:42.900,162.9,0.07576744186046512
geraldton,2500.0,3:14.440,194.44,0.077776
geraldton,2535.0,3:13.047,193.047,0.07615266272189349
geraldton,2550.0,3:15.210,195.21,0.07655294117647059
globe derby,1385.0,1:37.215,97.215,0.0701913357400722
globe derby,1800.0,2:05.699,125.699,0.06983277777777777
globe derby,2170.0,nan,,
globe derby,2230.0,2:38.554,158.554,0.07110044843049328
globe derby,2645.0,3:12.049,192.049,0.07260831758034027
gloucester park,900.0,1:01.245,61.245,0.06805
gloucester park,1700.0,1:59.147,119.14699999999999,0.07008647058823529
gloucester park,1730.0,1:59.582,119.582,0.06912254335260115
gloucester park,1740.0,2:04.100,124.1,0.07132183908045976
gloucester park,1742.0,2:03.900,123.9,0.07112514351320322
gloucester park,2096.0,2:33.337,153.337,0.07315696564885496
gloucester park,2100.0,2:28.777,148.777,0.07084619047619047
gloucester park,2102.0,2:36.700,156.7,0.07454804947668886
gloucester park,2130.0,2:28.976,148.976,0.06994178403755869
gloucester park,2140.0,2:34.100,154.1,0.07200934579439253
gloucester park,2143.0,2:35.000,155.0,0.07232851143257116
gloucester park,2500.0,3:08.000,188.0,0.0752
gloucester park,2503.0,3:03.595,183.595,0.07334998002397124
gloucester park,2506.0,2:59.716,179.716,0.07171428571428572
gloucester park,2530.0,3:10.481,190.481,0.07528893280632411
gloucester park,2536.0,2:59.690,179.69,0.07085567823343848
gloucester park,2544.0,3:06.700,186.7,0.0733883647798742
gloucester park,2548.0,3:06.300,186.3,0.07311616954474098
gloucester park,2900.0,3:38.500,218.5,0.07534482758620689
gloucester park,2902.0,3:36.091,216.091,0.07446278428669884
gloucester park,2903.0,3:52.417,232.417,0.08006097140888736
gloucester park,2906.0,3:30.359,210.359,0.07238781830695114
gloucester park,2907.0,3:37.600,217.6,0.07485380116959064
gloucester park,2936.0,3:31.037,211.037,0.07187908719346049
gloucester park,3309.0,4:08.434,248.434,0.07507827138108189
gold coast,166.0,nan,,
gold coast,182.0,nan,,
gold coast,1100.0,1:18.128,78.128,0.07102545454545454
gold coast,1609.0,1:52.956,112.956,0.07020261031696706
gold coast,2100.0,2:29.888,149.888,0.0713752380952381
gold coast,2609.0,3:09.075,189.075,0.07247029513223457
gold coast,3100.0,4:00.427,240.427,0.07755709677419355
goulburn,1710.0,1:59.553,119.553,0.0699140350877193
goulburn,2240.0,2:38.666,158.666,0.07083303571428572
goulburn,2760.0,3:19.515,199.515,0.07228804347826086
griffith,1750.0,2:06.401,126.401,0.07222914285714285
griffith,2150.0,2:38.575,158.575,0.07375581395348836
gunbower,1390.0,1:38.184,98.184,0.07063597122302158
gunbower,2030.0,2:24.575,144.575,0.0712192118226601
gunbower,2630.0,3:10.282,190.282,0.07235057034220532
gympie,1500.0,2:01.940,121.94,0.08129333333333333
gympie,1609.0,2:15.500,135.5,0.08421379738968303
gympie,1850.0,2:30.476,150.476,0.08133837837837837
gympie,1950.0,2:35.110,155.11,0.07954358974358976
hamilton,1660.0,1:54.112,114.112,0.06874216867469879
hamilton,1795.0,2:14.523,134.523,0.07494317548746518
hamilton,2160.0,2:32.745,152.745,0.07071527777777778
hamilton,2180.0,2:50.404,170.404,0.07816697247706422
hamilton,2210.0,2:46.264,166.264,0.07523257918552037
hamilton,2580.0,3:17.796,197.796,0.07666511627906976
hamilton,2660.0,3:10.352,190.352,0.0715609022556391
harold park,1760.0,2:05.000,125.0,0.07102272727272728
harold park,2160.0,2:36.500,156.5,0.0724537037037037
harold park,2565.0,3:09.369,189.369,0.07382807017543859
harold park,2965.0,3:50.100,230.1,0.07760539629005059
harold park,3370.0,4:22.586,262.586,0.0779186943620178
harvey,1735.0,2:08.260,128.26,0.0739250720461095
harvey,1750.0,2:04.912,124.912,0.07137828571428571
harvey,2100.0,2:36.646,156.64600000000002,0.07459333333333334
harvey,2135.0,2:40.460,160.46,0.0751569086651054
harvey,2150.0,2:35.013,155.013,0.07209906976744186
harvey,2500.0,3:10.370,190.37,0.07614800000000001
harvey,2535.0,3:11.420,191.42,0.07551084812623274
harvey,2550.0,3:03.348,183.348,0.07190117647058825
hobart,1120.0,1:17.522,77.52199999999999,0.06921607142857142
hobart,1140.0,1:17.950,77.95,0.06837719298245615
hobart,1609.0,1:54.079,114.07900000000001,0.0709005593536358
hobart,2000.0,2:54.694,174.69400000000002,0.08734700000000001
hobart,2090.0,2:29.800,149.8,0.07167464114832536
hobart,2400.0,3:15.006,195.006,0.0812525
hobart,2579.0,3:08.271,188.27100000000002,0.07300155098875534
hobart,3060.0,3:52.700,232.7,0.07604575163398693
hobart s,1609.0,1:59.800,119.8,0.07445618396519577
hobart s,2000.0,2:29.900,149.9,0.07495
hobart s,2360.0,2:58.800,178.8,0.07576271186440678
hobart s,2750.0,3:29.100,209.1,0.07603636363636364
horsham,1200.0,1:23.260,83.26,0.06938333333333334
horsham,1609.0,1:54.650,114.65,0.07125543816034804
horsham,1700.0,1:59.350,119.35,0.07020588235294117
horsham,2200.0,2:36.613,156.613,0.07118772727272728
horsham,2700.0,3:14.118,194.118,0.07189555555555556
inverell,1639.0,2:03.089,123.089,0.07510006101281269
inverell,2000.0,2:29.500,149.5,0.07475
inverell,2069.0,2:35.500,155.5,0.07515708071532141
inverell,2070.0,2:35.400,155.4,0.07507246376811594
junee,1760.0,2:06.857,126.857,0.0720778409090909
junee,2170.0,2:37.742,157.742,0.0726921658986175
junee,2510.0,3:14.490,194.49,0.07748605577689244
kadina,2064.0,2:43.100,163.1,0.07902131782945736
kadina,2376.0,3:09.300,189.3,0.07967171717171717
kalgoorlie,1750.0,2:05.252,125.252,0.07157257142857143
kalgoorlie,2118.0,2:40.414,160.414,0.07573843248347498
kalgoorlie,2150.0,2:36.140,156.14,0.07262325581395349
kalgoorlie,2518.0,3:08.939,188.939,0.07503534551231135
kalgoorlie,2550.0,3:06.812,186.812,0.07325960784313726
kalgoorlie,2918.0,3:44.920,224.92000000000002,0.07708019191226868
kapunda,900.0,1:08.087,68.087,0.07565222222222223
kapunda,980.0,1:07.099,67.099,0.06846836734693879
kapunda,1400.0,1:38.472,98.47200000000001,0.07033714285714286
kapunda,1800.0,2:08.866,128.86599999999999,0.07159222222222221
kapunda,2200.0,2:42.531,162.531,0.07387772727272728
kapunda,2220.0,2:39.822,159.822,0.0719918918918919
kapunda,2600.0,3:26.400,206.4,0.07938461538461539
kapunda,2610.0,3:12.523,192.523,0.07376360153256704
kapunda,3430.0,4:39.214,279.214,0.08140349854227405
kellerb,1730.0,2:08.600,128.6,0.07433526011560693
kellerb,2100.0,2:44.680,164.68,0.07841904761904762
kellerb,2130.0,2:40.480,160.48,0.07534272300469483
kellerb,2500.0,3:15.420,195.42,0.078168
kellerb,2530.0,3:10.760,190.76,0.075399209486166
kellerberrin,1730.0,2:04.766,124.766,0.07211907514450867
kellerberrin,2100.0,2:38.696,158.696,0.07556952380952381
kellerberrin,2130.0,2:34.469,154.469,0.0725206572769953
kellerberrin,2500.0,3:10.370,190.37,0.07614800000000001
kellerberrin,2530.0,3:06.475,186.475,0.07370553359683794
kilcoy,1600.0,2:21.125,141.125,0.088203125
kilcoy,1800.0,2:21.540,141.54,0.07863333333333333
kilcoy,1820.0,2:18.011,138.011,0.07583021978021978
kilcoy,1850.0,2:20.447,140.447,0.07591729729729729
kilmore,1180.0,1:21.289,81.289,0.06888898305084745
kilmore,1660.0,2:07.202,127.202,0.0766277108433735
kilmore,1690.0,1:58.872,118.872,0.07033846153846154
kilmore,2150.0,2:40.817,160.817,0.0747986046511628
kilmore,2180.0,2:34.647,154.647,0.07093899082568807
kilmore,2660.0,3:20.029,200.029,0.07519887218045113
kilmore,2690.0,3:13.965,193.965,0.07210594795539034
kilmore,3150.0,3:55.464,235.464,0.07475047619047619
kimba,1920.0,2:29.700,149.7,0.07796874999999999
kimba,2320.0,3:06.700,186.7,0.08047413793103447
kimba,2360.0,3:12.800,192.8,0.08169491525423729
king island,1609.0,2:06.100,126.1,0.0783716594157862
king island,1613.0,2:13.050,133.05,0.08248605083694979
king island,1680.0,2:14.490,134.49,0.08005357142857143
king island,1690.0,2:13.450,133.45,0.07896449704142011
king island,1735.0,2:22.400,142.4,0.08207492795389049
king island,1750.0,2:22.400,142.4,0.08137142857142858
king island,2000.0,2:52.650,172.65,0.086325
king island,2079.0,2:48.150,168.15,0.08088023088023089
king island,2109.0,2:47.800,167.8,0.07956377430061641
king island,2130.0,2:51.000,171.0,0.08028169014084507
king island,2150.0,2:51.100,171.1,0.07958139534883721
king island,2428.0,3:19.000,199.0,0.08196046128500824
king island,2438.0,3:20.150,200.15,0.08209598031173093
king island,3300.0,4:41.150,281.15,0.08519696969696969
launceston,1609.0,2:05.500,125.5,0.07799875699192045
launceston,1680.0,1:58.674,118.674,0.07063928571428572
launceston,2200.0,2:37.902,157.902,0.07177363636363636
launceston,2698.0,3:18.516,198.516,0.07357894736842105
launceston,3218.0,4:17.900,257.9,0.08014294592914853
leeton,1300.0,1:34.361,94.36099999999999,0.07258538461538461
leeton,1310.0,1:34.781,94.781,0.07235190839694657
leeton,1317.0,1:37.000,97.0,0.07365223993925589
leeton,1758.0,2:04.175,124.175,0.07063424345847553
leeton,2147.0,2:34.956,154.95600000000002,0.07217326502095948
leeton,2558.0,3:16.500,196.5,0.07681782642689601
leeton,2582.0,3:07.267,187.267,0.0725278853601859
lithgow,1609.0,2:03.100,123.1,0.07650714729645743
lithgow,1980.0,2:28.600,148.6,0.07505050505050505
lithgow,2363.0,3:00.400,180.4,0.07634363097757088
mackay,1320.0,1:37.800,97.8,0.07409090909090908
mackay,1740.0,2:08.200,128.2,0.07367816091954023
mackay,2160.0,2:39.700,159.7,0.07393518518518517
mackay,2580.0,3:13.200,193.2,0.07488372093023256
mackay,3000.0,3:53.900,233.9,0.07796666666666667
maitland,1646.0,1:58.100,118.1,0.07174969623329283
maitland,1656.0,2:03.400,123.4,0.07451690821256039
maitland,2044.0,2:26.500,146.5,0.07167318982387476
maitland,2054.0,2:32.630,152.63,0.07430866601752678
maitland,2422.0,2:55.264,175.264,0.07236333608587944
maitland,2432.0,3:04.720,184.72,0.07595394736842105
maitland,2834.0,3:41.530,221.53,0.07816866619618913
marburg,1500.0,1:51.740,111.74000000000001,0.07449333333333334
marburg,1850.0,2:12.652,132.652,0.07170378378378378
marburg,2200.0,2:41.606,161.606,0.07345727272727272
marburg,2550.0,3:29.820,209.82,0.08228235294117647
